COD. DEP.,DEPARTAMENTO,COD. MUN.,MUNICIPIO,GRUPO DE CULTIVO,SUBGRUPO DE CULTIVO,CULTIVO,ANO,PERIODO,AREA SEMBRADA (ha),AREA COSECHADA (Ha),PRODUCCION (t),RENDIMIENTO (t/ha),DESEMPENO (Ha cos/Ha sem),ESTADO DEL CUTIVO,CICLO DE CULTIVO
41,HUILA,416,ACEVEDO,CEREALES,MAIZ,MAIZ,2008,2008A,805.0,802.0,3023,3.77,3.77,GRANO SECO,TRANSITORIO
41,HUILA,41668,SAN AGUSTIN,CEREALES,MAIZ,MAIZ,2008,2008A,581.0,581.0,1975,3.4,3.4,GRANO SECO,TRANSITORIO
41,HUILA,41807,TIMANA,CEREALES,MAIZ,MAIZ,2008,2008A,550.0,550.0,1925,3.5,3.5,GRANO SECO,TRANSITORIO
41,HUILA,41306,GIGANTE,CEREALES,MAIZ,MAIZ,2008,2008A,510.0,510.0,1983,3.89,3.89,GRANO SECO,TRANSITORIO
41,HUILA,41396,LA PLATA,CEREALES,MAIZ,MAIZ,2008,2008A,506.0,504.0,1804,3.58,3.58,GRANO SECO,TRANSITORIO
41,HUILA,4153,PALESTINA,CEREALES,MAIZ,MAIZ,2008,2008A,462.0,462.0,1663,3.6,3.6,GRANO SECO,TRANSITORIO
41,HUILA,41298,GARZON,CEREALES,MAIZ,MAIZ,2008,2008A,460.0,460.0,1890,4.11,4.11,GRANO SECO,TRANSITORIO
41,HUILA,412,ALGECIRAS,CEREALES,MAIZ,MAIZ,2008,2008A,285.0,280.0,1223,4.37,4.37,GRANO SECO,TRANSITORIO
41,HUILA,41548,PITAL,CEREALES,MAIZ,MAIZ,2008,2008A,280.0,280.0,1176,4.2,4.2,GRANO SECO,TRANSITORIO
41,HUILA,411,NEIVA,CEREALES,MAIZ,MAIZ,2008,2008A,270.0,270.0,955,3.54,3.54,GRANO SECO,TRANSITORIO
41,HUILA,41359,ISNOS,CEREALES,MAIZ,MAIZ,2008,2008A,260.0,255.0,915,3.59,3.59,GRANO SECO,TRANSITORIO
41,HUILA,4177,SUAZA,CEREALES,MAIZ,MAIZ,2008,2008A,250.0,250.0,1100,4.4,4.4,GRANO SECO,TRANSITORIO
41,HUILA,41799,TELLO,CEREALES,MAIZ,MAIZ,2008,2008A,180.0,179.0,626,3.5,3.5,GRANO SECO,TRANSITORIO
41,HUILA,41319,GUADALUPE,CEREALES,MAIZ,MAIZ,2008,2008A,150.0,150.0,582,3.88,3.88,GRANO SECO,TRANSITORIO
41,HUILA,41676,SANTA MARIA,CEREALES,MAIZ,MAIZ,2008,2008A,140.0,140.0,495,3.54,3.54,GRANO SECO,TRANSITORIO
41,HUILA,4166,SALADOBLANCO,CEREALES,MAIZ,MAIZ,2008,2008A,138.0,136.0,476,3.5,3.5,GRANO SECO,TRANSITORIO
